#  H0[km/s/Mpc],   	     r_d[Mpc]
   67.566530000000000        147.50010000000000     
   67.562870000000004        147.52070000000001     
   67.533569999999997        147.55099999999999     
   67.383420000000001        147.48480000000001     
   66.881709999999998        147.27449999999999     
   66.867069999999998        147.27990000000000     
   66.669309999999996        147.17679999999999     
   66.749880000000005        147.22550000000001     
   66.486210000000000        147.17720000000000     
   66.145629999999997        146.73339999999999     
   66.141970000000001        146.73599999999999     
   66.621700000000004        146.61670000000001     
   66.724239999999995        146.63360000000000     
   66.753540000000001        146.69759999999999     
   66.878050000000002        146.78569999999999     
   67.031859999999995        146.87700000000001     
   67.057500000000005        146.86529999999999     
   67.156369999999995        146.93209999999999     
   67.138059999999996        146.84620000000001     
   67.057500000000005        146.95290000000000     
   66.863399999999999        146.82470000000001     
   67.610470000000007        147.07550000000001     
   67.907100000000000        147.02099999999999     
   67.379760000000005        146.85499999999999     
   67.485960000000006        146.93910000000000     
   67.431030000000007        146.84920000000000     
   67.222290000000001        146.82169999999999     
   66.896360000000001        146.61220000000000     
   66.870729999999995        146.72640000000001     
   66.874390000000005        146.73820000000001     
   67.028199999999998        146.77940000000001     
   67.233279999999993        147.06930000000000     
   67.544560000000004        147.12430000000001     
   67.724000000000004        147.43039999999999     
   67.811890000000005        147.58199999999999     
   67.368769999999998        147.45200000000000     
   67.247919999999993        147.41110000000000     
   67.152709999999999        146.92990000000000     
   67.068479999999994        147.03229999999999     
   67.072140000000005        147.03399999999999     
   67.138059999999996        147.04069999999999     
   67.141720000000007        147.06250000000000     
   67.006230000000002        147.03700000000001     
   66.943969999999993        146.94630000000001     
   67.251589999999993        146.98300000000000     
   66.973269999999999        146.69530000000000     
   66.830439999999996        146.54570000000001     
   66.859740000000002        146.51280000000000     
   66.965940000000003        146.59430000000000     
   66.973269999999999        146.58539999999999     
   66.998900000000006        146.60210000000001     
   67.138059999999996        146.73460000000000     
   67.196659999999994        146.75360000000001     
   66.779169999999993        146.92939999999999     
   66.757199999999997        146.92540000000000     
   66.951290000000000        147.11130000000000     
   66.867069999999998        147.03530000000001     
   66.921999999999997        146.96430000000001     
   67.266239999999996        147.07180000000000     
   67.313839999999999        147.08629999999999     
   67.420040000000000        147.12370000000001     
   66.797489999999996        147.02709999999999     
   66.911010000000005        146.99080000000001     
   66.526489999999995        146.80699999999999     
   66.273799999999994        146.69550000000001     
   66.163939999999997        146.68719999999999     
   66.537480000000002        146.78059999999999     
   66.610720000000001        146.82800000000000     
   66.746219999999994        146.87620000000001     
   66.453249999999997        146.80549999999999     
   66.442260000000005        146.89349999999999     
   66.471559999999997        146.90119999999999     
   66.467900000000000        146.90190000000001     
   66.720579999999998        146.92900000000000     
   66.647340000000000        146.80380000000000     
   67.130740000000003        146.85190000000000     
   67.734989999999996        147.23410000000001     
   67.793580000000006        147.25819999999999     
   67.548220000000001        147.24100000000001     
   67.877809999999997        147.25610000000000     
   67.815550000000002        147.23110000000000     
   67.716669999999993        147.17769999999999     
   67.401730000000001        147.04190000000000     
   67.141720000000007        146.82520000000000     
   67.280879999999996        146.83820000000000     
   67.496949999999998        147.06590000000000     
   67.390749999999997        146.86660000000001     
   67.504270000000005        146.88820000000001     
   67.240600000000001        146.79460000000000     
   67.343140000000005        146.84059999999999     
   67.255250000000004        146.64019999999999     
   67.229609999999994        146.56760000000000     
   66.962280000000007        146.48509999999999     
   67.665409999999994        146.71250000000001     
   67.676389999999998        146.72460000000001     
   66.618039999999993        146.38450000000000     
   66.339720000000000        146.29089999999999     
   66.661990000000003        146.54689999999999     
   66.610720000000001        146.55969999999999     
   67.149050000000003        146.65500000000000     
   67.127080000000007        146.68100000000001     
   67.551879999999997        146.73230000000001     
   67.625119999999995        146.72590000000000     
   68.339230000000001        147.27340000000001     
   68.610230000000001        147.27580000000000     
   68.547970000000007        147.28970000000001     
   68.547970000000007        147.30500000000001     
   68.555300000000003        147.33070000000001     
   68.536990000000003        147.34670000000000     
   68.584590000000006        147.43450000000001     
   68.910520000000005        147.51689999999999     
   68.507689999999997        147.43740000000000     
   68.859250000000003        147.84350000000001     
   68.566280000000006        147.67619999999999     
   68.613889999999998        147.70930000000001     
   69.024050000000003        147.85800000000000     
   68.947140000000005        147.74529999999999     
   68.518680000000003        147.47049999999999     
   68.438109999999995        147.41929999999999     
   67.592160000000007        147.13220000000001     
   67.610470000000007        147.12209999999999     
   67.229609999999994        147.00880000000001     
   67.493290000000002        147.09450000000001     
   67.515259999999998        147.12100000000001     
   67.412719999999993        147.09540000000001     
   67.888790000000000        147.14449999999999     
   67.947389999999999        147.22839999999999     
   67.852170000000001        147.21870000000001     
   67.852170000000001        147.22210000000001     
   67.980350000000001        147.36529999999999     
   67.855829999999997        147.27830000000000     
   68.251339999999999        147.40870000000001     
   68.159790000000001        147.32759999999999     
   68.005979999999994        147.28240000000000     
   68.075559999999996        147.16249999999999     
   67.984009999999998        147.17130000000000     
   67.833860000000001        147.15899999999999     
   66.753540000000001        146.72970000000001     
   66.676640000000006        146.70269999999999     
   67.324830000000006        146.88610000000000     
   67.291870000000003        146.87060000000000     
   67.489620000000002        146.91990000000001     
   67.405400000000000        146.82040000000001     
   67.394409999999993        146.77040000000000     
   67.361450000000005        146.78190000000001     
   66.808470000000000        146.59700000000001     
   66.815799999999996        146.58369999999999     
   67.031859999999995        146.62090000000001     
   67.273560000000003        146.75970000000001     
   66.837770000000006        146.82040000000001     
   66.954960000000000        146.93740000000000     
   66.969600000000000        146.94540000000001     
   67.189329999999998        147.00489999999999     
   67.247919999999993        147.07079999999999     
   67.390749999999997        147.05210000000000     
   67.101439999999997        147.15969999999999     
